number,actualNumRPs,actualSeed,allRotorsAbility,autoShootingPositions,avgAgility,avgBallControl,avgDefense,avgDrivingAbility,avgGearControl,avgGearGroundIntakesTele,avgGearLoaderIntakesTele,avgGearsEjectedTele,avgGearsFumbledTele,avgGearsPlacedAuto,avgGearsPlacedByLiftAuto,avgGearsPlacedByLiftTele,avgGearsPlacedTele,avgHighShotsAuto,avgHighShotsTele,avgHopperShotTime,avgHoppersOpenedAuto,avgHoppersOpenedTele,avgKeyShotTime,avgLiftoffTime,avgLowShotsAuto,avgLowShotsTele,avgSpeed,disabledPercentage,disfunctionalPercentage,firstPickAbility,firstPickRotorBonusChance,gearScoringPositionsAuto,incapacitatedPercentage,lfmAvgAgility,lfmAvgBallControl,lfmAvgDefense,lfmAvgGearControl,lfmAvgGearLoaderIntakesTele,lfmAvgGearsPlacedAuto,lfmAvgGearsPlacedTele,lfmAvgHighShotsAuto,lfmAvgHighShotsTele,lfmAvgKeyShotTime,lfmAvgLiftoffTime,lfmAvgLowShotsAuto,lfmAvgLowShotsTele,lfmAvgSpeed,lfmDisabledPercentage,lfmIncapacitatedPercentage,lfmLiftoffPercentage,liftoffAbility,liftoffPercentage,numMatchesPlayed,pitAvailableWeight,pitCheesecake,pitDriveTrain,pitProgrammingLanguage,predictedNumRPs,predictedSeed,RScoreAgility,RScoreBallControl,RScoreDefense,RScoreDrivingAbility,RScoreGearControl,RScoreSpeed,sdGearsPlacedAuto,sdGearsPlacedTele,sdHighShotsAuto,sdHighShotsTele,sdLiftoffAbility,sdLowShotsAuto,sdLowShotsTele
1323,,,234.18957948711596,"['Other  ', 'Other', 'Hopper', None, 'Key']",2.75,2.625,,1.370717211893607,2.75,2.6875,0.0625,0.0,0.375,0.75,"{'allianceWall': 0.125, 'hpStation': 0.0, 'boiler': 0.625}","{'allianceWall': 0.25, 'hpStation': 0.875, 'boiler': 1.25}",2.375,16.623056783053002,43.897793941146844,6.916666666666667,0.25,1.4375,8.10410052910053,6.4174375,0.0,0.0,2.25,0.0,0.0,105.63065476343527,0.0,"['boiler', 'allianceWall']",0.0,2.75,2.5,,3.0,0.125,,2.25,14.656237453590808,42.07015338321452,8.041666666666666,6.932708333333333,0.0,0.0,2.0,0.0,0.0,1.0,50.0,1.0,0,0,,Swerve,Java,2.0454914316420467,4,1.7341150171531103,2.4284188477223676,-0.6421981080958125,1.4817399698303508,1.5988765723346214,0.5425244907265536,0.4330127018922193,1.4086784586980805,10.134084119606571,30.41500848706119,0.0,0.0,0.0
2659,,,294.3141499992924,"['Other  ', 'Hopper', None, 'Key']",2.625,0.0,,1.2074457152758702,2.375,4.875,0.0,0.0,0.875,0.375,"{'allianceWall': 0.25, 'hpStation': 0.125, 'boiler': 0.0}","{'allianceWall': 1.375, 'hpStation': 2.0, 'boiler': 1.25}",4.625,0.0,0.0,6.861111111111111,0.0,0.0,6.3125,5.656357142857144,0.0,0.0,2.5,0.0,0.0,66.25,0.0,"['hpStation', 'allianceWall']",0.0,2.5,0.0,,2.5,0.0,,4.5,0.0,0.0,6.3125,4.719888888888889,0.0,0.0,2.5,0.0,0.0,0.75,43.75,0.875,0,40,,Mecanum,Java,1.7715053925386224,6,1.4669544402807824,-0.4748749700497374,-0.6421981080958125,1.305244117605436,0.8575019347327396,1.018993105336701,0.4841229182759271,1.3169567191065923,0.0,0.0,16.535945694153693,0.0,0.0
9073,,,95.27465051670566,"['Alliance Wall', 'Other  ', 'Hopper']",1.875,0.0,,-0.15737207188605162,2.0,2.625,0.0,0.0,1.8125,0.0,"{'allianceWall': 0.0, 'hpStation': 0.0, 'boiler': 0.0}","{'allianceWall': 0.75, 'hpStation': 0.41666666666666663, 'boiler': 0.0}",1.1666666666666665,0.7660563744598996,1.7708471470311782,10.5,0.0,0.25,12.11111111111111,5.0322916666666675,0.0,0.0,1.75,0.0,0.0,29.856338756803623,0.0,,0.0,1.75,0.0,,2.0,0.0,,1.3333333333333333,1.5321127489197992,3.5416942940623564,12.11111111111111,8.172666666666666,0.0,0.0,2.0,0.0,0.0,0.75,25.0,0.5,0,50,,Tank Drive,Java,0.9436788209484446,30,-0.13600902095318582,-0.4748749700497374,-0.6421981080958125,-0.17011859705652893,0.11612729713085788,-0.4104127384937409,0.0,0.6009252125773314,1.4631292059891932,3.6271240784135,25.0,0.0,0.0
9104,,,140.4148302583426,"['Other  ', 'Hopper', None, 'Key']",1.1666666666666667,0.0,,-1.1927181809128569,1.6666666666666667,2.0,0.3333333333333333,0.0,0.5,0.16666666666666666,"{'allianceWall': 0.16666666666666666, 'hpStation': 0.0, 'boiler': 0.0}","{'allianceWall': 0.6666666666666666, 'hpStation': 1.0, 'boiler': 1.0}",2.6666666666666665,0.0,0.0,7.770833333333333,0.0,0.3333333333333333,7.112962962962964,2.1540666666666666,0.0,0.0,1.5,0.0,0.0,28.5,0.0,['allianceWall'],0.0,1.25,0.0,,2.0,0.0,,2.75,0.0,0.0,5.583333333333333,2.304,0.0,0.0,1.75,0.0,0.0,0.25,16.666666666666668,0.3333333333333333,0,,,,,1.5614800810876692,13,-1.6499189565630445,-0.4748749700497374,-0.6421981080958125,-1.2893237102935724,-0.5428723807374813,-0.8868813531038882,0.372677996249965,0.4714045207910317,0.0,0.0,23.570226039551585,0.0,0.0
3495,,,54.53069805007089,"['Alliance Wall', 'Other  ', 'Hopper']",1.5714285714285714,0.42857142857142855,,-0.6110078760748483,1.5714285714285714,0.0,0.7857142857142857,0.0,0.5238095238095238,0.0,"{'allianceWall': 0.0, 'hpStation': 0.0, 'boiler': 0.0}","{'allianceWall': 0.5714285714285714, 'hpStation': 0.5, 'boiler': 0.14285714285714285}",1.2142857142857142,0.0,0.0,3.857142857142857,0.0,0.0,,3.273214285714286,0.0,0.0,1.8571428571428572,0.14285714285714285,0.2857142857142857,10.785714285714285,0.0,,0.14285714285714285,1.75,0.0,,1.75,1.375,,1.625,0.0,0.0,,5.728125,0.0,0.0,2.25,0.0,0.25,0.25,7.142857142857143,0.14285714285714285,0,30,,Tank Drive,Java,0.6401033077040705,41,-0.7848275647859826,-0.0008678161277611239,-0.6421981080958125,-0.6604971353723134,-0.7311580029855784,-0.2062119036608205,0.0,0.8390957231764807,0.0,0.0,17.49635530559413,0.0,0.0
5012,1.7,20,208.83617453377326,"['Alliance Wall', 'Other  ', 'Hopper', None, 'Key']",2.5714285714285716,0.0,2.0,1.2737491104956862,2.5714285714285716,3.4285714285714284,0.14285714285714285,0.0,0.35714285714285715,0.14285714285714285,"{'allianceWall': 0.0, 'hpStation': 0.0, 'boiler': 0.14285714285714285}","{'allianceWall': 0.8571428571428571, 'hpStation': 0.7857142857142857, 'boiler': 1.4285714285714286}",3.0714285714285716,20.714285714285715,0.0,3.1666666666666665,0.0,0.07142857142857142,7.750000000000001,0.8884000000000001,0.0,0.0,2.5714285714285716,0.0,0.0,61.785714285714285,0.02040816326530612,['boiler'],0.0,2.75,0.0,,2.25,0.0,,3.375,36.25,0.0,7.750000000000001,0.9637777777777777,0.0,0.0,2.5,0.0,0.0,0.5,28.571428571428573,0.5714285714285714,0,40,,Tank Drive,Java,1.718565248883166,7,1.3524570501926423,-0.4748749700497374,0.8851919868347685,1.3769178297177527,1.24584103061944,1.1551269952253147,0.3499271061118826,2.178278668853844,50.73943038622297,0.0,24.743582965269677,0.0,0.0
1836,,,92.62973702384812,"['Other  ', 'Hopper', None, 'Key']",1.3333333333333333,0.0,,-0.9256703216040775,1.6666666666666667,1.8333333333333333,0.0,0.0,0.3333333333333333,0.5,"{'allianceWall': 0.5, 'hpStation': 0.0, 'boiler': 0.0}","{'allianceWall': 0.8333333333333334, 'hpStation': 0.16666666666666666, 'boiler': 0.16666666666666666}",1.1666666666666667,1.501925545571245,5.689987163029525,8.13888888888889,0.0,0.0,6.6,3.7215277777777778,0.0,0.0,1.6666666666666667,0.0,0.16666666666666666,43.398587933247754,0.0,['allianceWall'],0.16666666666666666,1.0,0.0,,1.25,0.0,,1.75,2.2528883183568675,8.534980744544288,6.6,5.582291666666666,0.0,0.0,1.75,0.0,0.0,0.75,25.0,0.5,0,20,,Mecanum,Labview,1.2592124836956389,22,-1.2937048540666074,-0.4748749700497374,-0.6421981080958125,-1.000646014002878,-0.5428723807374813,-0.5692356100304565,0.5,1.0671873729054748,3.358407617040762,12.723198087635197,25.0,0.0,0.0
9671,,,275.7956205004678,"['Other  ', 'Hopper', None, 'Key']",2.2857142857142856,0.0,,1.0305569922691828,2.7142857142857144,4.071428571428571,0.14285714285714285,0.0,0.5,0.42857142857142855,"{'allianceWall': 0.42857142857142855, 'hpStation': 0.0, 'boiler': 0.0}","{'allianceWall': 1.1428571428571428, 'hpStation': 2.2857142857142856, 'boiler': 1.0}",4.428571428571429,1.094077158753558,27.857142857142858,2.3333333333333335,0.0,0.07142857142857142,8.0,1.285142857142857,0.0,0.0,2.5714285714285716,0.0,0.0,62.094077158753564,0.0,['allianceWall'],0.0,2.25,0.0,,2.5,0.0,,4.25,1.9146350278187265,0.0,8.0,1.60175,0.0,0.0,2.75,0.0,0.0,0.5,28.571428571428573,0.5714285714285714,0,20,,Tank Drive,Java,1.6385984775604627,9,0.7418043030558917,-0.4748749700497374,-0.6421981080958125,1.1140280966661715,1.5282694639915853,1.1551269952253147,0.49487165930539345,0.9035079029052512,1.8628030123096802,68.2357856918171,24.743582965269677,0.0,0.0
9012,,,153.26372662706794,"['Other  ', 'Hopper']",2.142857142857143,0.0,,0.9964309528098735,2.2857142857142856,0.0,1.5714285714285714,0.0,0.42857142857142855,0.42857142857142855,"{'allianceWall': 0.42857142857142855, 'hpStation': 0.0, 'boiler': 0.0}","{'allianceWall': 0.7142857142857143, 'hpStation': 0.5238095238095238, 'boiler': 0.14285714285714285}",1.3809523809523812,0.0,0.0,4.5,0.0,0.14285714285714285,6.666666666666667,1.7837222222222222,0.0,0.0,3.142857142857143,0.0,0.0,42.57142857142857,0.0,['allianceWall'],0.0,2.0,0.0,,2.25,1.0,,1.25,0.0,0.0,6.666666666666667,2.675583333333334,0.0,0.0,3.0,0.0,0.0,0.75,28.571428571428573,0.5714285714285714,0,45,,Tank Drive,Java,1.5068074012539032,15,0.43647792948751696,-0.4748749700497374,-0.6421981080958125,1.0771379808639403,0.6809841638751485,2.2441981143342224,0.49487165930539345,0.4517539514526256,0.0,0.0,24.743582965269677,0.0,0.0
9323,,,105.27767721692922,"['Other  ', 'Hopper', None, 'Key']",2.0,2.5714285714285716,,-0.12481686973078275,1.2857142857142858,0.9047619047619048,0.0,0.14285714285714285,0.6666666666666666,0.0,"{'allianceWall': 0.0, 'hpStation': 0.0, 'boiler': 0.0}","{'allianceWall': 0.14285714285714285, 'hpStation': 0.14285714285714285, 'boiler': 0.9285714285714286}",1.2142857142857142,6.635365100707474,26.336131089002745,7.324074074074075,0.7142857142857143,1.7142857142857142,8.827380952380953,3.9039333333333333,0.0,0.0,2.142857142857143,0.0,0.0,54.77121832085125,0.0,,0.0,2.0,2.25,,1.75,0.0,,1.25,5.124315826822874,28.116738177684624,8.214285714285715,4.311333333333334,0.0,0.0,2.5,0.0,0.0,0.5,35.714285714285715,0.7142857142857143,0,0,,Tank Drive,Java,1.608850500792777,11,0.1311515559191422,2.369167953482121,-0.6421981080958125,-0.13492655026466793,-1.296014869729869,0.3383236558936333,0.0,0.749149177264394,7.429366958394231,25.14337492240696,22.58769757263128,0.0,0.0
